property_id,check_in_date,room_category,successful_bookings,capacity,occupancy
16559,2022-05-03,RT1,17,30,57%
18560,2022-05-03,RT1,19,30,63%
19562,2022-05-03,RT1,19,30,63%
19563,2022-05-03,RT1,15,30,50%
17558,2022-05-03,RT1,9,19,47%
16558,2022-05-03,RT1,14,19,74%
17560,2022-05-03,RT1,19,40,48%
19558,2022-05-03,RT1,20,40,50%
19560,2022-05-03,RT1,14,26,54%
17561,2022-05-03,RT1,16,26,62%
16560,2022-05-03,RT1,19,34,56%
16561,2022-05-03,RT1,10,18,56%
16562,2022-05-03,RT1,14,31,45%
16563,2022-05-03,RT1,25,41,61%
17559,2022-05-03,RT1,20,32,63%
17562,2022-05-03,RT1,10,20,50%
17563,2022-05-03,RT1,16,25,64%
18558,2022-05-03,RT1,8,15,53%
18559,2022-05-03,RT1,18,42,43%
18561,2022-05-03,RT1,19,33,58%
18562,2022-05-03,RT1,23,38,61%
18563,2022-05-03,RT1,13,27,48%
19559,2022-05-03,RT1,12,24,50%
19561,2022-05-03,RT1,20,36,56%
17564,2022-05-03,RT1,6,16,38%
19562,2022-05-03,RT2,14,23,61%
18563,2022-05-03,RT2,14,29,48%
17561,2022-05-03,RT2,23,36,64%
17558,2022-05-03,RT2,26,50,52%
16562,2022-05-03,RT2,19,43,44%
16561,2022-05-03,RT2,16,24,67%
16558,2022-05-03,RT2,14,22,64%
19560,2022-05-03,RT2,25,38,66%
16563,2022-05-03,RT2,24,38,63%
16559,2022-05-03,RT2,26,41,63%
19559,2022-05-03,RT2,22,41,54%
19558,2022-05-03,RT2,16,39,41%
17559,2022-05-03,RT2,24,39,62%
16560,2022-05-03,RT2,16,34,47%
18562,2022-05-03,RT2,22,34,65%
18559,2022-05-03,RT2,19,44,43%
17563,2022-05-03,RT2,30,44,68%
17562,2022-05-03,RT2,15,30,50%
18558,2022-05-03,RT2,16,30,53%
17564,2022-05-03,RT2,16,40,40%
18561,2022-05-03,RT2,25,40,63%
18560,2022-05-03,RT2,25,40,63%
17560,2022-05-03,RT2,22,45,49%
19561,2022-05-03,RT2,21,45,47%
19563,2022-05-03,RT2,23,45,51%
19562,2022-05-03,RT3,18,29,62%
19561,2022-05-03,RT3,14,29,48%
18562,2022-05-03,RT3,17,29,59%
17558,2022-05-03,RT3,15,27,56%
17562,2022-05-03,RT3,12,27,44%
19559,2022-05-03,RT3,14,27,52%
16559,2022-05-03,RT3,21,32,66%
16558,2022-05-03,RT3,5,8,63%
18561,2022-05-03,RT3,15,25,60%
18560,2022-05-03,RT3,15,24,63%
16562,2022-05-03,RT3,8,18,44%
16561,2022-05-03,RT3,13,21,62%
16563,2022-05-03,RT3,13,20,65%
18558,2022-05-03,RT3,13,26,50%
18559,2022-05-03,RT3,9,23,39%
19558,2022-05-03,RT3,9,21,43%
16560,2022-05-03,RT3,10,20,50%
17559,2022-05-03,RT3,10,16,63%
17563,2022-05-03,RT3,10,16,63%
17561,2022-05-03,RT3,12,19,63%
19560,2022-05-03,RT3,12,19,63%
17560,2022-05-03,RT3,11,25,44%
18563,2022-05-03,RT3,11,23,48%
17564,2022-05-03,RT3,11,24,46%
17562,2022-05-03,RT4,2,6,33%
16558,2022-05-03,RT4,2,3,67%
19563,2022-05-03,RT4,4,6,67%
19561,2022-05-03,RT4,4,7,57%
18561,2022-05-03,RT4,5,9,56%
16561,2022-05-03,RT4,7,10,70%
17560,2022-05-03,RT4,7,13,54%
19559,2022-05-03,RT4,1,3,33%
17564,2022-05-03,RT4,7,17,41%
18560,2022-05-03,RT4,9,15,60%
19560,2022-05-03,RT4,10,16,63%
18559,2022-05-03,RT4,9,19,47%
17563,2022-05-03,RT4,11,19,58%
19562,2022-05-03,RT4,9,14,64%
17559,2022-05-03,RT4,10,14,71%
18558,2022-05-03,RT4,10,20,50%
18562,2022-05-03,RT4,12,20,60%
18563,2022-05-03,RT4,8,18,44%
16563,2022-05-03,RT4,11,18,61%
16559,2022-05-03,RT4,11,18,61%
16562,2022-05-03,RT4,3,6,50%
17558,2022-05-03,RT4,3,6,50%
16560,2022-05-03,RT4,3,7,43%
19558,2022-05-03,RT4,3,7,43%
17561,2022-05-03,RT4,3,4,75%
19563,2022-05-04,RT3,15,29,52%
18560,2022-05-04,RT1,20,30,67%
19562,2022-05-04,RT1,17,30,57%
19563,2022-05-04,RT1,14,30,47%
17558,2022-05-04,RT1,9,19,47%
16558,2022-05-04,RT1,13,19,68%
17560,2022-05-04,RT1,22,40,55%
19558,2022-05-04,RT1,15,40,38%
19560,2022-05-04,RT1,16,26,62%
17561,2022-05-04,RT1,15,26,58%
16560,2022-05-04,RT1,17,34,50%
16561,2022-05-04,RT1,11,18,61%
16562,2022-05-04,RT1,16,31,52%
16563,2022-05-04,RT1,28,41,68%
17559,2022-05-04,RT1,19,32,59%
17562,2022-05-04,RT1,9,20,45%
17563,2022-05-04,RT1,16,25,64%
18558,2022-05-04,RT1,7,15,47%
18559,2022-05-04,RT1,18,42,43%
18561,2022-05-04,RT1,22,33,67%
18562,2022-05-04,RT1,25,38,66%
18563,2022-05-04,RT1,16,27,59%
19559,2022-05-04,RT1,12,24,50%
19561,2022-05-04,RT1,16,36,44%
17564,2022-05-04,RT1,7,16,44%
19562,2022-05-04,RT2,14,23,61%
18563,2022-05-04,RT2,16,29,55%
17561,2022-05-04,RT2,21,36,58%
17558,2022-05-04,RT2,27,50,54%
16562,2022-05-04,RT2,21,43,49%
16561,2022-05-04,RT2,15,24,63%
16558,2022-05-04,RT2,14,22,64%
19560,2022-05-04,RT2,21,38,55%
16563,2022-05-04,RT2,23,38,61%
16559,2022-05-04,RT2,28,41,68%
19559,2022-05-04,RT2,22,41,54%
19558,2022-05-04,RT2,18,39,46%
17559,2022-05-04,RT2,23,39,59%
16560,2022-05-04,RT2,20,34,59%
18562,2022-05-04,RT2,22,34,65%
18559,2022-05-04,RT2,19,44,43%
17563,2022-05-04,RT2,29,44,66%
17562,2022-05-04,RT2,11,30,37%
18558,2022-05-04,RT2,16,30,53%
17564,2022-05-04,RT2,18,40,45%
18561,2022-05-04,RT2,25,40,63%
18560,2022-05-04,RT2,28,40,70%
17560,2022-05-04,RT2,20,45,44%
19561,2022-05-04,RT2,21,45,47%
19563,2022-05-04,RT2,20,45,44%
16559,2022-05-04,RT1,21,30,70%
19562,2022-05-04,RT3,20,29,69%
19561,2022-05-04,RT3,13,29,45%
18562,2022-05-04,RT3,16,29,55%
17558,2022-05-04,RT3,12,27,44%
17562,2022-05-04,RT3,9,27,33%
19559,2022-05-04,RT3,14,27,52%
16559,2022-05-04,RT3,19,32,59%
16558,2022-05-04,RT3,6,8,75%
18561,2022-05-04,RT3,16,25,64%
18560,2022-05-04,RT3,17,24,71%
17563,2022-05-04,RT3,8,16,50%
17564,2022-05-04,RT3,8,24,33%
16561,2022-05-04,RT3,14,21,67%
17560,2022-05-04,RT3,14,25,56%
18558,2022-05-04,RT3,14,26,54%
19558,2022-05-04,RT3,9,21,43%
16560,2022-05-04,RT3,10,20,50%
17561,2022-05-04,RT3,10,19,53%
18559,2022-05-04,RT3,10,23,43%
16563,2022-05-04,RT3,12,20,60%
17559,2022-05-04,RT3,12,16,75%
16562,2022-05-04,RT3,11,18,61%
18563,2022-05-04,RT3,11,23,48%
19560,2022-05-04,RT3,11,19,58%
17562,2022-05-04,RT4,2,6,33%
19559,2022-05-04,RT4,2,3,67%
16558,2022-05-04,RT4,2,3,67%
18561,2022-05-04,RT4,4,9,44%
16561,2022-05-04,RT4,5,10,50%
17560,2022-05-04,RT4,6,13,46%
17564,2022-05-04,RT4,9,17,53%
18560,2022-05-04,RT4,10,15,67%
19560,2022-05-04,RT4,11,16,69%
18559,2022-05-04,RT4,8,19,42%
17563,2022-05-04,RT4,11,19,58%
19562,2022-05-04,RT4,8,14,57%
17559,2022-05-04,RT4,9,14,64%
18558,2022-05-04,RT4,11,20,55%
18562,2022-05-04,RT4,12,20,60%
18563,2022-05-04,RT4,8,18,44%
16563,2022-05-04,RT4,12,18,67%
16559,2022-05-04,RT4,11,18,61%
16562,2022-05-04,RT4,3,6,50%
17558,2022-05-04,RT4,3,6,50%
19563,2022-05-04,RT4,3,6,50%
16560,2022-05-04,RT4,3,7,43%
19558,2022-05-04,RT4,3,7,43%
19561,2022-05-04,RT4,3,7,43%
17561,2022-05-04,RT4,3,4,75%
16559,2022-05-05,RT1,16,30,53%
18560,2022-05-05,RT1,15,30,50%
19562,2022-05-05,RT1,19,30,63%
19563,2022-05-05,RT1,14,30,47%
17558,2022-05-05,RT1,10,19,53%
16558,2022-05-05,RT1,12,19,63%
17560,2022-05-05,RT1,20,40,50%
19558,2022-05-05,RT1,18,40,45%
19560,2022-05-05,RT1,18,26,69%
17561,2022-05-05,RT1,15,26,58%
16560,2022-05-05,RT1,17,34,50%
16561,2022-05-05,RT1,13,18,72%
16562,2022-05-05,RT1,15,31,48%
16563,2022-05-05,RT1,30,41,73%
17559,2022-05-05,RT1,21,32,66%
17562,2022-05-05,RT1,8,20,40%
17563,2022-05-05,RT1,18,25,72%
18558,2022-05-05,RT1,8,15,53%
18559,2022-05-05,RT1,16,42,38%
18561,2022-05-05,RT1,25,33,76%
18562,2022-05-05,RT1,24,38,63%
18563,2022-05-05,RT1,14,27,52%
19559,2022-05-05,RT1,13,24,54%
19561,2022-05-05,RT1,17,36,47%
17564,2022-05-05,RT1,6,16,38%
19562,2022-05-05,RT2,15,23,65%
18563,2022-05-05,RT2,14,29,48%
17561,2022-05-05,RT2,25,36,69%
17558,2022-05-05,RT2,29,50,58%
16562,2022-05-05,RT2,20,43,47%
16561,2022-05-05,RT2,15,24,63%
16558,2022-05-05,RT2,13,22,59%
19560,2022-05-05,RT2,27,38,71%
16563,2022-05-05,RT2,25,38,66%
16559,2022-05-05,RT2,24,41,59%
19559,2022-05-05,RT2,23,41,56%
19558,2022-05-05,RT2,20,39,51%
17559,2022-05-05,RT2,26,39,67%
16560,2022-05-05,RT2,19,34,56%
18562,2022-05-05,RT2,22,34,65%
18559,2022-05-05,RT2,22,44,50%
17563,2022-05-05,RT2,28,44,64%
17562,2022-05-05,RT2,13,30,43%
18558,2022-05-05,RT2,15,30,50%
17564,2022-05-05,RT2,18,40,45%
18561,2022-05-05,RT2,26,40,65%
18560,2022-05-05,RT2,26,40,65%
17560,2022-05-05,RT2,20,45,44%
19561,2022-05-05,RT2,21,45,47%
19563,2022-05-05,RT2,22,45,49%
19563,2022-05-05,RT3,14,29,48%
19562,2022-05-05,RT3,19,29,66%
19561,2022-05-05,RT3,14,29,48%
18562,2022-05-05,RT3,18,29,62%
17558,2022-05-05,RT3,14,27,52%
17562,2022-05-05,RT3,11,27,41%
19559,2022-05-05,RT3,14,27,52%
16559,2022-05-05,RT3,20,32,63%
16558,2022-05-05,RT3,4,8,50%
18561,2022-05-05,RT3,15,25,60%
18560,2022-05-05,RT3,16,24,67%
17560,2022-05-05,RT3,13,25,52%
16563,2022-05-05,RT3,14,20,70%
16562,2022-05-05,RT3,9,18,50%
19558,2022-05-05,RT3,9,21,43%
16560,2022-05-05,RT3,10,20,50%
17559,2022-05-05,RT3,10,16,63%
17563,2022-05-05,RT3,10,16,63%
18559,2022-05-05,RT3,10,23,43%
16561,2022-05-05,RT3,12,21,57%
18558,2022-05-05,RT3,12,26,46%
19560,2022-05-05,RT3,12,19,63%
17564,2022-05-05,RT3,12,24,50%
17561,2022-05-05,RT3,11,19,58%
18563,2022-05-05,RT3,11,23,48%
19559,2022-05-05,RT4,2,3,67%
16558,2022-05-05,RT4,2,3,67%
16560,2022-05-05,RT4,4,7,57%
19561,2022-05-05,RT4,4,7,57%
18561,2022-05-05,RT4,5,9,56%
16561,2022-05-05,RT4,6,10,60%
17560,2022-05-05,RT4,6,13,46%
17564,2022-05-05,RT4,7,17,41%
18560,2022-05-05,RT4,10,15,67%
19560,2022-05-05,RT4,10,16,63%
18559,2022-05-05,RT4,8,19,42%
17563,2022-05-05,RT4,12,19,63%
19562,2022-05-05,RT4,9,14,64%
17559,2022-05-05,RT4,8,14,57%
18558,2022-05-05,RT4,11,20,55%
18562,2022-05-05,RT4,12,20,60%
18563,2022-05-05,RT4,10,18,56%
16563,2022-05-05,RT4,12,18,67%
16559,2022-05-05,RT4,13,18,72%
16562,2022-05-05,RT4,3,6,50%
17558,2022-05-05,RT4,3,6,50%
17562,2022-05-05,RT4,3,6,50%
19563,2022-05-05,RT4,3,6,50%
19558,2022-05-05,RT4,3,7,43%
17561,2022-05-05,RT4,3,4,75%
16559,2022-05-06,RT1,21,30,70%
18560,2022-05-06,RT1,20,30,67%
19562,2022-05-06,RT1,18,30,60%
19563,2022-05-06,RT1,15,30,50%
17558,2022-05-06,RT1,9,19,47%
16558,2022-05-06,RT1,10,19,53%
17560,2022-05-06,RT1,18,40,45%
19558,2022-05-06,RT1,18,40,45%
19560,2022-05-06,RT1,17,26,65%
17561,2022-05-06,RT1,16,26,62%
16560,2022-05-06,RT1,19,34,56%
16561,2022-05-06,RT1,12,18,67%
16562,2022-05-06,RT1,14,31,45%
16563,2022-05-06,RT1,23,41,56%
17559,2022-05-06,RT1,19,32,59%
17562,2022-05-06,RT1,8,20,40%
17563,2022-05-06,RT1,14,25,56%
18558,2022-05-06,RT1,7,15,47%
18559,2022-05-06,RT1,18,42,43%
18561,2022-05-06,RT1,23,33,70%
18562,2022-05-06,RT1,24,38,63%
18563,2022-05-06,RT1,12,27,44%
19559,2022-05-06,RT1,14,24,58%
19561,2022-05-06,RT1,20,36,56%
17564,2022-05-06,RT1,7,16,44%
19562,2022-05-06,RT2,18,23,78%
18563,2022-05-06,RT2,15,29,52%
17561,2022-05-06,RT2,20,36,56%
17558,2022-05-06,RT2,29,50,58%
16562,2022-05-06,RT2,24,43,56%
16561,2022-05-06,RT2,14,24,58%
16558,2022-05-06,RT2,15,22,68%
19560,2022-05-06,RT2,22,38,58%
16563,2022-05-06,RT2,27,38,71%
16559,2022-05-06,RT2,23,41,56%
19559,2022-05-06,RT2,20,41,49%
19558,2022-05-06,RT2,14,39,36%
17559,2022-05-06,RT2,25,39,64%
16560,2022-05-06,RT2,18,34,53%
18562,2022-05-06,RT2,26,34,76%
18559,2022-05-06,RT2,20,44,45%
17563,2022-05-06,RT2,28,44,64%
17562,2022-05-06,RT2,12,30,40%
18558,2022-05-06,RT2,17,30,57%
17564,2022-05-06,RT2,18,40,45%
18561,2022-05-06,RT2,23,40,58%
18560,2022-05-06,RT2,24,40,60%
17560,2022-05-06,RT2,22,45,49%
19561,2022-05-06,RT2,24,45,53%
19563,2022-05-06,RT2,23,45,51%
19563,2022-05-06,RT3,14,29,48%
19562,2022-05-06,RT3,20,29,69%
19561,2022-05-06,RT3,13,29,45%
18562,2022-05-06,RT3,21,29,72%
17558,2022-05-06,RT3,12,27,44%
17562,2022-05-06,RT3,10,27,37%
19559,2022-05-06,RT3,13,27,48%
16559,2022-05-06,RT3,20,32,63%
16558,2022-05-06,RT3,5,8,63%
18561,2022-05-06,RT3,17,25,68%
16563,2022-05-06,RT3,15,20,75%
17561,2022-05-06,RT3,13,19,68%
19560,2022-05-06,RT3,13,19,68%
18558,2022-05-06,RT3,14,26,54%
18560,2022-05-06,RT3,14,24,58%
16562,2022-05-06,RT3,9,18,50%
18559,2022-05-06,RT3,9,23,39%
17563,2022-05-06,RT3,10,16,63%
19558,2022-05-06,RT3,10,21,48%
17564,2022-05-06,RT3,10,24,42%
16561,2022-05-06,RT3,12,21,57%
17560,2022-05-06,RT3,12,25,48%
18563,2022-05-06,RT3,12,23,52%
16560,2022-05-06,RT3,11,20,55%
17559,2022-05-06,RT3,11,16,69%
17562,2022-05-06,RT4,2,6,33%
19559,2022-05-06,RT4,2,3,67%
16558,2022-05-06,RT4,2,3,67%
16560,2022-05-06,RT4,4,7,57%
18561,2022-05-06,RT4,4,9,44%
17560,2022-05-06,RT4,5,13,38%
16561,2022-05-06,RT4,6,10,60%
17564,2022-05-06,RT4,7,17,41%
18560,2022-05-06,RT4,9,15,60%
19560,2022-05-06,RT4,9,16,56%
18559,2022-05-06,RT4,9,19,47%
17563,2022-05-06,RT4,12,19,63%
19562,2022-05-06,RT4,8,14,57%
17559,2022-05-06,RT4,8,14,57%
18558,2022-05-06,RT4,11,20,55%
18562,2022-05-06,RT4,14,20,70%
18563,2022-05-06,RT4,9,18,50%
16563,2022-05-06,RT4,11,18,61%
16559,2022-05-06,RT4,11,18,61%
16562,2022-05-06,RT4,3,6,50%
17558,2022-05-06,RT4,3,6,50%
19563,2022-05-06,RT4,3,6,50%
19558,2022-05-06,RT4,3,7,43%
19561,2022-05-06,RT4,3,7,43%
17561,2022-05-06,RT4,3,4,75%
19563,2022-05-07,RT3,20,29,69%
18560,2022-05-07,RT1,28,30,93%
19562,2022-05-07,RT1,28,30,93%
19563,2022-05-07,RT1,21,30,70%
17558,2022-05-07,RT1,15,19,79%
16558,2022-05-07,RT1,17,19,89%
17560,2022-05-07,RT1,31,40,78%
19558,2022-05-07,RT1,22,40,55%
19560,2022-05-07,RT1,26,26,100%
17561,2022-05-07,RT1,22,26,85%
16560,2022-05-07,RT1,26,34,76%
16561,2022-05-07,RT1,15,18,83%
16562,2022-05-07,RT1,25,31,81%
16563,2022-05-07,RT1,37,41,90%
17559,2022-05-07,RT1,29,32,91%
17562,2022-05-07,RT1,13,20,65%
17563,2022-05-07,RT1,21,25,84%
18558,2022-05-07,RT1,11,15,73%
18559,2022-05-07,RT1,22,42,52%
18561,2022-05-07,RT1,28,33,85%
18562,2022-05-07,RT1,33,38,87%
18563,2022-05-07,RT1,20,27,74%
19559,2022-05-07,RT1,18,24,75%
19561,2022-05-07,RT1,26,36,72%
17564,2022-05-07,RT1,9,16,56%
19562,2022-05-07,RT2,22,23,96%
18563,2022-05-07,RT2,20,29,69%
17561,2022-05-07,RT2,30,36,83%
17558,2022-05-07,RT2,39,50,78%
16562,2022-05-07,RT2,31,43,72%
16561,2022-05-07,RT2,21,24,88%
16558,2022-05-07,RT2,18,22,82%
19560,2022-05-07,RT2,33,38,87%
16563,2022-05-07,RT2,37,38,97%
16559,2022-05-07,RT2,36,41,88%
19559,2022-05-07,RT2,28,41,68%
19558,2022-05-07,RT2,23,39,59%
17559,2022-05-07,RT2,33,39,85%
16560,2022-05-07,RT2,24,34,71%
18562,2022-05-07,RT2,28,34,82%
18559,2022-05-07,RT2,28,44,64%
17563,2022-05-07,RT2,39,44,89%
17562,2022-05-07,RT2,16,30,53%
18558,2022-05-07,RT2,22,30,73%
17564,2022-05-07,RT2,21,40,53%
18561,2022-05-07,RT2,40,40,100%
18560,2022-05-07,RT2,38,40,95%
17560,2022-05-07,RT2,31,45,69%
19561,2022-05-07,RT2,34,45,76%
19563,2022-05-07,RT2,31,45,69%
16559,2022-05-07,RT1,28,30,93%
19562,2022-05-07,RT3,26,29,90%
19561,2022-05-07,RT3,22,29,76%
18562,2022-05-07,RT3,29,29,100%
17558,2022-05-07,RT3,19,27,70%
17562,2022-05-07,RT3,16,27,59%
19559,2022-05-07,RT3,20,27,74%
16559,2022-05-07,RT3,28,32,88%
16558,2022-05-07,RT3,7,8,88%
17560,2022-05-07,RT3,18,25,72%
18561,2022-05-07,RT3,21,25,84%
16561,2022-05-07,RT3,20,21,95%
16563,2022-05-07,RT3,17,20,85%
